id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
890914,HackerHome - Santa Clara: bunk 1a,43806,Vic,,Sunnyvale,37.38683,-122.02494,Shared room,50,30,21,2022-04-20,0.15,6,319,0,
913205,Best for International visitor,2350552,Shoukri,,Morgan Hill,37.1355,-121.66665,Private room,68,3,1,2014-03-14,0.01,1,297,0,
922716,2nd Floor Private Bedroom I,4961460,Peter,,Palo Alto,37.4061,-122.12403,Private room,85,3,69,2020-01-29,0.55,3,268,0,
943009,Luxurious Single Family House,5101079,Kayvan,,San Jose,37.41933,-121.85892,Entire home/apt,,14,4,2018-11-03,0.04,1,0,0,
952133,Handel Queen Bedroom in Happy Home!,3736812,Celeste,,San Jose,37.27311,-121.80978,Private room,50,31,30,2023-08-16,0.22,3,309,1,
969522,Palo Alto/Stanford Garden Hideaway,771434,Cecile,,Palo Alto,37.4234,-122.13892,Entire home/apt,220,4,30,2022-07-19,0.22,1,165,0,
976347,Downtown Private Home with Backyard,3967231,Anne And Mike,,Mountain View,37.39079,-122.07542,Entire home/apt,375,1,88,2024-06-18,0.64,7,298,10,
978835,Private Bedroom+Bathroom+Entrance,1768448,Dan,,Sunnyvale,37.38638,-122.01979,Private room,65,30,226,2024-04-05,1.65,1,273,2,2023-2083
995505,Bach Comfy Room in a Happy Home,3736812,Celeste,,San Jose,37.27123,-121.81039,Private room,42,30,47,2024-01-20,0.34,3,319,3,
1010008,Adorable house in the Redwoods,5556586,Colleen,,Unincorporated Areas,37.15665,-121.98777,Entire home/apt,,2,82,2023-11-25,0.60,1,0,1,
1013938,WFH from Penthouse with View and location!,5522692,Elaine,,Cupertino,37.32386,-122.0301,Entire home/apt,229,30,65,2024-06-11,0.48,1,319,7,
1019524,"Cozy Cottage, Private Entrance",5612983,Tom,,Palo Alto,37.39109,-122.12741,Entire home/apt,179,2,211,2024-05-23,1.54,2,82,9,
1024086,Cozy Redwood Studio in Foothills,5637736,Don & Christine,,Unincorporated Areas,37.19351,-122.02039,Entire home/apt,88,21,230,2020-03-04,1.70,1,47,0,
1097780,"Large Master Suite, Private, Quiet Getaway",6033093,Michelle,,Cupertino,37.30278,-122.06188,Private room,,2,170,2019-12-22,1.38,1,0,0,
1108171,2 BR/ 2 levels TH in Silicon Valley,4756619,Christine,,Milpitas,37.42513,-121.91158,Entire home/apt,139,31,114,2023-12-13,0.87,1,236,1,
1115287,Walk to Downtown Palo Alto,703440,Bob,,Palo Alto,37.45699,-122.15199,Entire home/apt,,2,242,2024-06-18,1.81,1,0,4,
1122250,HackerHome - San Jose Dwtn: priv rm,43806,Vic,,San Jose,37.3311,-121.87306,Private room,45,30,16,2017-08-20,0.12,6,311,0,
1133453,Home in resort-like environment~ upscale area.,1879455,Joseph,,Saratoga,37.24375,-122.01866,Entire home/apt,265,90,52,2023-12-31,0.48,6,267,5,
1216215,"Comfy, Cozy & Affordable 3-San Jose",2538509,Barbara,,San Jose,37.40062,-121.82758,Private room,39,4,73,2024-05-13,0.54,2,190,4,
